15273 38868
-372.4579 38.533455 -324.25687
-372.76093 37.095177 -325.5813
-370.4375 37.753513 -324.24347
-331.74722 37.095177 -325.5813
-332.05026 38.533455 -324.25687
-334.07065 37.753513 -324.24347
-372.4579 192.96188 -324.2568
-370.4375 193.74184 -324.24344
-372.76093 194.34932 -325.58124
-332.05026 192.96188 -324.2568
-331.74722 194.34932 -325.58124
-334.07065 193.74184 -324.24344
-372.4579 52.572414 -324.49768
-370.4375 53.352356 -324.51105
-372.76093 53.586082 -325.5813
-334.07065 53.352356 -324.51105
-332.05026 52.572414 -324.49768
-331.74722 53.586082 -325.5813
-372.4579 178.92296 -324.49762
-372.76093 177.96014 -325.58124
-370.4375 178.143 -324.51102
-332.05026 178.92296 -324.49762
-334.07065 178.143 -324.51102
-331.74722 177.96014 -325.58124
-325.98914 172.42535 -327.05728
-326.29218 171.27145 -325.58124
-328.6156 170.89987 -327.05728
-378.51904 172.42535 -327.05728
-375.89255 170.89987 -327.05728
-378.21597 171.27145 -325.58124
-325.98914 199.8841 -327.05728
-328.6156 201.40958 -327.05728
-326.29218 201.03798 -325.58124
-378.51904 199.8841 -327.05728
-378.21597 201.03798 -325.58124
-375.89255 201.40958 -327.05728
-375.89255 29.068783 -327.0573
-378.21597 29.491224 -325.5813
-378.51904 30.695969 -327.0573
-328.6156 29.068783 -327.05725
-325.98914 30.695969 -327.05725
-326.29218 29.491224 -325.58124
-375.89255 61.61249 -327.05734
-378.51904 59.985306 -327.05734
-378.21597 61.190052 -325.5813
-328.6156 61.61249 -327.05734
-326.29218 61.190052 -325.5813
-325.98914 59.985306 -327.05734
-341.60123 191.3897 -589.39154
-340.73785 194.42778 -589.39154
-338.89673 190.57564 -591.3277
-341.60123 15.798023 -589.3915
-338.8967 15.787124 -591.32764
-340.72842 12.77353 -589.3915
-289.79938 191.3897 -589.39154
-290.63156 190.57564 -591.3277
-290.66278 194.42778 -589.39154
-290.66275 12.77353 -589.3915
-290.63153 15.787125 -591.32764
-289.79938 15.795845 -589.3915
-412.0038 143.90678 -364.2379
-412.0038 147.26917 -363.62332
-414.62296 151.26228 -367.2808
-292.4228 143.90678 -364.2379
-289.79938 151.26228 -367.20953
-292.4228 147.26917 -363.62332
-412.54254 12.773544 -480.21997
-415.24707 11.203961 -478.44833
-414.62296 16.135935 -480.21997
-412.0038 12.773556 -397.89853
-414.62296 16.135946 -397.89853
-415.24707 11.203972 -399.67014
-291.8798 12.773544 -480.21997
-289.79938 16.135935 -474.50946
-291.89017 11.203961 -478.44833
-292.4228 12.773556 -397.89853
-292.4278 11.203972 -399.67014
-289.79938 16.135944 -403.60904
-415.24707 80.02135 -474.50946
-414.62296 83.38374 -480.21997
-415.24707 76.580475 -478.44836
-415.24707 80.021355 -403.60904
-415.24707 76.58048 -399.67017
-414.62296 83.38375 -397.89856
-424.77914 -18.618107 -474.50946
-427.10535 -13.686134 -474.50946
-426.4812 -17.048525 -478.44833
-424.09955 -18.618095 -403.60904
-426.4812 -17.048513 -399.67014
-427.10535 -13.686125 -403.60904
-289.79938 -17.048523 -474.50946
-292.10956 -18.618107 -474.50946
-292.07742 -17.048525 -478.44833
-289.79938 -17.048513 -403.60904
-292.5177 -17.048512 -399.67014
-292.50095 -18.618095 -403.60904
-426.48123 80.02135 -474.50946
-426.48123 75.167854 -478.44836
-427.10535 75.08937 -474.50946
-426.48123 80.021355 -403.60904
-427.10535 75.089386 -403.60904
-426.48123 75.16786 -399.67017
-343.26678 16.135952 -351.94543
-339.64474 12.7735615 -352.56003
-342.2682 16.135952 -351.4943
-361.24136 16.135952 -351.94543
-362.23996 16.135952 -351.4943
-364.8591 12.7735615 -352.56003
-343.26678 76.65897 -351.94543
-342.2682 76.65897 -351.49432
-339.64474 80.02136 -352.56006
-361.24136 76.65897 -351.94543
-364.8591 80.02136 -352.56006
-362.23996 76.65897 -351.49432
-339.64474 147.26917 -352.56006
-342.2682 151.26228 -351.49432
-343.26678 151.26228 -351.94543
-361.24136 151.26228 -351.94543
-362.23996 151.26228 -351.49432
-364.8591 147.26917 -352.56006
-414.62296 151.26228 -343.37418
-412.0038 147.26917 -343.37418
-412.0038 151.26228 -342.92303
-414.62296 223.1384 -343.37418
-412.0038 223.1384 -342.92307
-412.0038 227.1315 -343.37418
-364.8591 12.773562 -343.37415
-362.23996 16.135954 -343.37415
-364.8591 16.135954 -342.92303
-412.0038 12.773562 -343.37415
-412.0038 16.135954 -342.92303
-414.62296 16.135954 -343.37415
-289.79938 76.65897 -343.37415
-292.4228 80.02136 -343.37415
-292.4228 76.65897 -342.92303
-289.79938 16.135954 -343.37415
-292.4228 16.135954 -342.92303
-292.4228 12.773562 -343.37415
-339.64474 227.1315 -343.37418
-342.2682 223.1384 -343.37418
-339.64474 223.1384 -342.92307
-292.4228 227.1315 -343.37418
-292.4228 223.1384 -342.92307
-289.79938 223.1384 -343.37418
-414.62296 76.65897 -343.37415
-412.0038 76.65897 -342.92303
-412.0038 80.02136 -343.37415
-289.79938 151.26228 -343.37418
-292.4228 151.26228 -342.92303
-292.4228 147.26917 -343.37418
-364.8591 80.02136 -343.37415
-364.8591 76.65897 -342.92303
-362.23996 76.65897 -343.37415
-364.8591 147.26917 -343.37418
-362.23996 151.26228 -343.37418
-364.8591 151.26228 -342.92303
-339.64474 12.773562 -343.37415
-339.64474 16.135954 -342.92303
-342.2682 16.135954 -343.37415
-364.85907 227.1315 -343.37418
-364.85907 223.1384 -342.92307
-362.23993 223.1384 -343.37418
-339.64474 80.02136 -343.37415
-342.2682 76.65897 -343.37415
-339.64474 76.65897 -342.92303
-339.64474 147.26917 -343.37418
-339.64474 151.26228 -342.92303
-342.2682 151.26228 -343.37418
-343.26678 227.39828 -423.67023
-342.2682 227.39828 -420.6986
-339.64474 227.1315 -427.6091
-361.24136 227.39828 -423.67023
-364.8591 227.1315 -427.6091
-362.23996 227.39828 -420.6986
-359.6087 431.8478 -353.92087
-359.60962 435.39066 -355.149
-360.42593 433.1977 -354.43753
-344.9162 435.38522 -355.14838
-344.89938 431.8478 -353.92087
